Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2021-10-21,161.699,162.864,155.437,155.437,717930.6
2021-10-22,156.311,159.078,154.466,157.427,593437.59
2021-10-25,159.175,159.709,154.029,155.825,596312.32
2021-10-26,156.117,157.184,153.883,154.417,361900.8
2021-10-27,153.058,153.058,148.738,150.583,550537.06
2021-10-28,151.262,152.718,149.612,150.097,426609.52
2021-10-29,149.806,153.01,147.961,148.932,541501.9
2021-11-02,146.602,147.427,144.126,145.049,672357.22
2021-11-03,147.184,150.291,146.408,147.913,448655.64
2021-11-04,149.417,151.845,146.845,147.573,673638.54
2021-11-05,147.913,148.01,144.466,145.631,749758.63
2021-11-08,146.602,150,145.243,149.806,592862.85
2021-11-09,149.806,151.99,146.505,147.67,716791.42
2021-11-10,147.573,149.175,143.107,147.136,592413.77
2021-11-12,149.417,155.728,148.544,154.32,927947.6
2021-11-15,155.728,155.825,147.67,148.301,740654.46
2021-11-16,149.223,150.485,147.087,147.621,527733.89
2021-11-17,147.621,150.34,140.485,146.117,1232417.66
2021-11-18,143.107,143.301,136.214,137.33,1295424.82
2021-11-19,139.951,142.379,136.505,138.689,889958.11
